mean_hastags,unique_hashtags,tweets_with_hashtags,no_hashtags,total_tweets
1.5,41,32,254,286
1.560229445506692,825,1046,2051,3097
1.319201995012469,355,401,2558,2959
1.2570281124497993,340,498,2520,3018
1.1090909090909091,136,165,661,826
2.319277108433735,242,166,1170,1336
1.1090909090909091,136,165,661,826
1.4259927797833936,248,277,2501,2778
2.131849315068493,677,1168,1816,2984
1.800718132854578,1092,1114,1898,3012
1.8236040609137056,576,788,2153,2941
2.2248995983935744,568,498,157,655
1.5635593220338984,332,236,1752,1988
1.4259927797833936,248,277,2501,2778
1.5635593220338984,332,236,1752,1988
1.1954732510288066,503,486,2065,2551
1.2771929824561403,208,285,1470,1755
1.3,19,20,1096,1116
1.1768545994065283,572,1685,1414,3099
1.2156862745098038,49,51,2877,2928
1.6153846153846154,14,13,44,57
1.2156862745098038,49,51,2877,2928
4.538576406172225,934,2009,1026,3035
1.5814763231197773,672,1436,1646,3082
