mean_hastags,unique_hashtags,tweets_with_hashtags,no_hashtags,total_tweets
1.2362637362637363,130,182,2667,2849
1.685382381413359,946,1033,1548,2581
1.5550098231827112,1175,1018,1774,2792
1.6153846153846154,14,13,44,57
1.362369337979094,267,287,2649,2936
4.538576406172225,934,2009,1026,3035
1.9066339066339066,437,814,605,1419
1.5580736543909348,890,706,915,1621
1.5814763231197773,672,1436,1646,3082
1.1376953125,555,1024,2068,3092
1.4074074074074074,31,27,841,868
1.1538461538461537,14,13,236,249
1.685382381413359,946,1033,1548,2581
1.2222222222222223,579,1170,1908,3078
1.0977011494252873,118,348,2247,2595
1.5580736543909348,890,706,915,1621
1.1376953125,555,1024,2068,3092
1.4074074074074074,31,27,841,868
1.1538461538461537,14,13,236,249
